chunk,total_tcp_len,rtt,dropped_packets,time_chunk_sent,download_duration,throughput,bytes_per_transmission_time
1.0,599824,3.2720000000000002,0,1733985076.345006,0.5938320159912109,8.080722949890633,183320.293398533
2.0,481603,2.5260000000000002,0,1733985076.938838,0.5128719806671143,7.512252853018933,190658.35312747426
3.0,482374,2.0210000000000004,0,1733985077.452026,0.46887803077697754,8.230268314353024,238680.85106382976
4.0,962614,25.189,0,1733985077.920904,0.836165189743042,9.209797411402084,38215.649688356025
5.0,601487,2.656,0,1733985078.758706,0.3377859592437744,14.245399692671464,226463.47891566265
6.0,601355,51.809999999999995,0,1733985079.097192,0.7264759540557861,6.622159994617765,11606.929164254007
7.0,480838,23.421,0,1733985079.823668,0.3993959426879883,9.631304649995105,20530.207933051537
8.0,480948,96.999,0,1733985080.223401,0.49585795402526855,7.759447980547933,4958.277920390932
9.0,963055,5.6979999999999995,0,1733985080.719259,1.099639892578125,7.006330028584909,169016.32151632154
10.0,724256,24.869,0,1733985081.818899,0.5186710357666016,11.170949600909047,29122.843700993206
11.0,842592,4.433999999999999,0,1733985082.33757,0.8680851459503174,7.765063175480011,190029.76995940463
12.0,843818,4.495,1,1733985083.209832,0.7208690643310547,9.364452345120824,187723.69299221356
13.0,482500,37.436,0,1733985083.930701,0.42270493507385254,9.131665328973751,12888.663318730634
14.0,314036,81.64299999999999,0,1733985084.353406,0.3496570587158203,7.1850058146311655,3846.453462023689
